City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,mizdah,31.4451,12.9801,16.51,28,0,3.12,LY,1667590507
123,qaanaaq,77.484,-69.3632,-8.0,65,75,3.58,GL,1667590507
124,hobyo,5.3505,48.5268,26.94,72,45,4.23,SO,1667590508
125,saint-joseph,-21.3667,55.6167,22.21,82,13,2.2,RE,1667590508
126,mar del plata,-38.0023,-57.5575,19.9,76,0,11.18,AR,1667590509
127,cururupu,-1.8283,-44.8683,27.56,72,72,2.93,BR,1667590509
128,vaini,-21.2,-175.2,25.09,78,20,3.09,TO,1667590510
129,muli,2.9167,73.5667,26.96,79,91,4.96,MV,1667590510
130,sabang,5.8933,95.3214,25.59,84,100,5.27,ID,1667590511
131,tiksi,71.6872,128.8694,-19.8,97,90,1.82,RU,1667590511
132,severo-kurilsk,50.6789,156.125,2.55,74,19,4.06,RU,1667590512
133,emerald,-23.5333,148.1667,17.38,74,0,4.1,AU,1667590512
134,boshnyakovo,49.6333,142.1667,-1.68,75,97,4.24,RU,1667590513
135,tasiilaq,65.6145,-37.6368,-0.36,84,100,8.16,GL,1667590513
136,taoudenni,22.6783,-3.9836,27.39,13,0,4.7,ML,1667590514
137,caravelas,-17.7125,-39.2481,21.64,71,100,7.16,BR,1667590515
138,fukue,32.6881,128.8419,16.06,53,9,6.54,JP,1667590515
139,huarmey,-10.0681,-78.1522,20.65,70,6,5.1,PE,1667590516
140,souillac,-20.5167,57.5167,23.21,88,75,1.03,MU,1667590516
141,ormara,25.2088,64.6357,26.31,68,100,6.32,PK,1667590517
142,hamilton,39.1834,-84.5333,24.86,53,40,6.69,US,1667590022
143,sinnamary,5.3833,-52.95,26.95,78,100,3.56,GF,1667590517
144,honiara,-9.4333,159.95,26.08,84,34,1.13,SB,1667590517
145,korla,41.7597,86.1469,6.87,42,59,1.61,CN,1667590518
146,hithadhoo,-0.6,73.0833,27.3,75,100,4.84,MV,1667590519
147,vestmannaeyjar,63.4427,-20.2734,7.59,80,100,12.53,IS,1667590519
148,wanxian,30.8039,108.3897,16.53,86,100,1.05,CN,1667590520
149,poum,-20.2333,164.0167,25.59,76,30,2.51,NC,1667590520
150,watrous,51.6668,-105.4679,1.88,64,3,4.63,CA,1667590521
151,warin chamrap,15.1932,104.8628,21.9,88,0,2.57,TH,1667590521
152,anadyr,64.75,177.4833,-22.72,83,0,3.0,RU,1667590522
153,bilma,18.6853,12.9164,23.08,22,100,2.81,NE,1667590522
154,ilulissat,69.2167,-51.1,-1.99,93,100,3.09,GL,1667590522
155,half moon bay,37.4636,-122.4286,17.67,64,75,3.09,US,1667590523
156,nawabganj,24.5911,88.271,21.09,77,0,2.06,BD,1667590524
157,mahebourg,-20.4081,57.7,23.16,88,75,1.03,MU,1667590524
158,ayan,56.45,138.1667,-4.49,52,92,7.8,RU,1667590525
159,luderitz,-26.6481,15.1594,16.36,85,3,2.45,NA,1667590525
160,springbok,-29.6643,17.8865,12.83,74,0,1.95,ZA,1667590525
161,longyan,25.1072,117.0225,17.82,98,100,0.67,CN,1667590526
162,puerto escondido,15.85,-97.0667,30.46,62,20,7.72,MX,1667590526
163,zhumadian,32.9794,114.0294,9.63,44,78,1.26,CN,1667590526
164,victor harbor,-35.5667,138.6167,13.71,79,34,3.31,AU,1667590527
165,nioro,13.35,-15.75,26.96,28,57,0.63,GM,1667590527
166,bambous virieux,-20.3428,57.7575,23.14,88,75,1.03,MU,1667590528
167,pringsewu,-5.3582,104.9744,23.26,94,99,0.94,ID,1667590528
168,tuktoyaktuk,69.4541,-133.0374,-12.0,85,100,6.69,CA,1667590528
169,lavrentiya,65.5833,-171.0,-11.42,80,94,4.48,RU,1667590529
170,glens falls,43.3095,-73.644,21.46,51,0,6.17,US,1667590529
171,nantucket,41.2835,-70.0995,20.08,84,0,4.63,US,1667590530
172,christchurch,-43.5333,172.6333,14.07,68,80,5.66,NZ,1667590530
173,neiafu,-18.65,-173.9833,23.38,94,100,2.06,TO,1667590530
174,wasilla,61.5814,-149.4394,-6.63,75,0,4.12,US,1667590531
175,avarua,-21.2078,-159.775,24.03,78,75,7.72,CK,1667590531
176,kaitangata,-46.2817,169.8464,9.88,66,67,6.81,NZ,1667590532
177,ligayan,4.6533,119.4706,28.03,77,100,2.74,PH,1667590532
178,toyooka,35.5333,134.8333,10.85,90,71,0.95,JP,1667590532
179,sao filipe,14.8961,-24.4956,27.12,62,100,4.66,CV,1667590533
180,ouro preto do oeste,-10.7481,-62.2158,29.38,36,98,1.69,BR,1667590533
181,san ramon,37.7799,-121.978,17.29,52,0,2.06,US,1667590336
182,bisira,8.5196,-81.7115,17.22,96,100,1.44,PA,1667590533
